"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
108.3,3238,27,99.64,1,0,0,0,0,0,0,0,0,1,0,0
114.55,3177,50,107.65,0,0,0,0,0,1,0,0,0,0,0,1
110.17,2044,42,109.36,0,0,0,0,0,0,1,0,0,0,0,0
112.54,3373,36,106.59,0,0,0,0,0,0,1,0,0,0,0,1
104.05,3128,36,88.03,0,0,0,0,0,0,0,0,0,1,0,0
58.87,3057,22,89.17,1,0,0,0,0,0,0,0,0,0,1,0
107.07,3106.91,22,100.9,0,0,1,0,0,0,0,0,0,0,1,0
113.48,2962,18,100.37,0,0,0,0,0,0,0,0,1,1,0,0
115.69,3351,38,106.18,0,0,0,0,0,0,0,0,1,0,0,1
115.07,3293,39,110.55,0,0,0,0,0,1,0,0,0,0,1,0
53.93,3254.48,2,82.99,0,0,0,1,0,0,0,0,0,0,1,0
107.1,3374,13,98.2,0,1,0,0,0,0,0,0,0,1,0,0
110.11,1602.11,50,105.75,0,0,1,0,0,0,0,0,0,0,0,0
110.9,2665,33,104.8,0,1,0,0,0,0,0,0,0,1,0,0
110.39,1527,9,105.05,0,1,0,0,0,0,0,0,0,0,0,0
101.92,2969.49,41,95.05,0,0,0,1,0,0,0,0,0,0,0,1
106.21,3470.59,8,95.67,0,0,0,1,0,0,0,0,0,1,0,0
105.97,3181,48,98.8,1,0,0,0,0,0,0,0,0,0,0,1
107.37,3441.72,24,99.06,0,0,1,0,0,0,0,0,0,1,0,0
106.35,2873,34,99.65,0,1,0,0,0,0,0,0,0,0,0,1
108.55,2515,32,100.97,0,1,0,0,0,0,0,0,0,0,0,1
117.73,2110,23,56.03,0,0,0,0,1,0,0,0,0,1,0,0
107.74,2830,33,100.38,0,1,0,0,0,0,0,0,0,0,0,1
83.36,3357,51,90.7,0,1,0,0,0,0,0,0,0,0,1,0
111.76,2336,44,106.8,0,0,0,0,0,0,0,1,0,0,0,0
112.24,3465,26,107.05,0,0,0,0,0,0,0,1,0,0,0,1
114.04,2142,27,111.29,0,0,0,0,0,0,0,1,0,0,0,0
46.28,2613,22,49.9,0,0,0,0,1,0,0,0,0,0,0,1
110.73,1532,13,104.34,1,0,0,0,0,0,0,0,0,0,0,0
109.01,2621,1,101.29,0,1,0,0,0,0,0,0,0,1,0,0
110.48,1580.69,52,103.82,0,0,0,0,0,0,0,0,0,1,0,0
110.94,1456,39,105.96,0,0,0,1,0,0,0,0,0,0,0,0
114.69,2547,53,109.93,0,0,0,0,1,0,0,0,0,0,1,0
113.25,1943.39,12,109.93,0,0,0,0,0,1,0,0,0,0,0,0
109.58,1467.46,8,104.59,0,0,0,1,0,0,0,0,0,0,0,0
107.98,3363,35,94.27,0,0,0,0,0,0,0,0,0,1,0,0
57.37,3254.74,4,85.93,0,0,0,1,0,0,0,0,0,0,1,0
70.37,3170,49,75.74,0,0,0,0,0,0,0,0,0,0,1,0
104.63,2906,4,99.97,0,0,0,0,1,0,0,0,0,0,0,1
111.87,1431,33,89.57,0,0,0,0,1,0,0,0,0,0,0,0
112.39,1493.21,7,106.86,0,0,0,1,0,0,0,0,0,0,0,0
115.37,1884,7,109.41,0,0,0,0,0,0,0,0,1,0,0,0
80.71,3310.91,2,87.1,0,0,0,1,0,0,0,0,0,1,0,0
112.48,3221,51,107.17,0,0,0,0,1,0,0,0,0,0,0,1
115.33,3254,30,109.51,0,0,0,0,0,0,0,0,1,0,1,0
109.71,1682,44,104.96,0,0,0,1,0,0,0,0,0,0,0,0
60.97,2806,3,89.61,0,0,0,0,1,0,0,0,0,0,0,1
105.5,3466.15,43,95.51,0,1,0,0,0,0,0,0,0,1,0,0
114.49,3054,8,108.17,0,0,0,0,0,0,1,0,0,0,0,1
114.81,3201,8,98.68,0,0,0,0,0,0,0,1,0,0,0,1
104.55,2927.78,50,94.23,0,0,0,0,0,0,0,0,0,0,0,1
107.97,2989,9,105.25,0,0,0,0,0,0,1,0,0,0,0,1
108.86,3111,47,95.2,0,0,0,0,0,0,0,0,0,1,0,0
104.58,3103.53,10,98.89,0,0,0,1,0,0,0,0,0,0,0,1
39.58,3069,50,81.23,0,0,0,0,0,0,0,0,0,0,1,0
57.27,3312.69,7,84.61,0,0,0,1,0,0,0,0,0,0,1,0
108.49,3209.27,34,97.92,0,0,0,0,0,0,0,0,0,1,0,0
81.51,3425.45,44,88.41,0,0,1,0,0,0,0,0,0,1,0,0
113.25,2057,3,107.9,0,0,0,0,0,0,0,1,0,0,0,0
116.65,2041,27,111.3,0,0,0,0,0,1,0,0,0,0,0,0
109.96,1796,17,103.2,0,0,0,0,0,1,0,0,0,0,0,0
87.68,3369,38,93.66,0,0,0,1,0,0,0,0,0,1,0,0
113.38,2041,45,108.87,0,0,0,0,0,0,1,0,0,0,0,0
110.25,1597,5,105.24,0,0,0,0,1,0,0,0,0,0,0,0
88.56,3314.35,45,90.81,0,0,1,0,0,0,0,0,0,1,0,0
113.66,1770,34,110.03,0,0,0,0,0,0,1,0,0,0,0,0
111.78,3383,17,106.57,0,0,0,0,0,0,0,0,1,0,0,1
106.27,3041,18,99.43,0,1,0,0,0,0,0,0,0,1,0,0
105.36,3094.58,37,98.56,0,0,0,1,0,0,0,0,0,0,0,1
109.21,2792,46,101.44,1,0,0,0,0,0,0,0,0,0,0,1
105.43,2875.29,51,98.42,0,0,1,0,0,0,0,0,0,0,0,1
113.05,2961,49,107.19,0,0,0,0,0,0,1,0,0,0,0,1
79.67,3388,49,91.44,0,0,0,1,0,0,0,0,0,1,0,0
104.18,3307,42,88.97,1,0,0,0,0,0,0,0,0,0,1,0
107.33,2890,25,100.6,0,1,0,0,0,0,0,0,0,0,0,1
98.44,2892,36,62.35,0,0,0,0,1,0,0,0,0,0,0,1
112.04,2269,52,104.36,0,0,0,1,0,0,0,0,0,1,0,0
111.03,1450.34,36,105.75,0,0,1,0,0,0,0,0,0,0,0,0
111.06,1749,36,66.82,0,0,0,0,1,0,0,0,0,0,0,0
105.17,3386.18,5,93.74,0,0,1,0,0,0,0,0,0,1,0,0
111.76,3271,29,106.84,0,0,0,0,0,0,1,0,0,0,0,1
107.79,2810,45,99.57,1,0,0,0,0,0,0,0,0,0,0,1
110.49,1648.75,42,104.45,0,1,0,0,0,0,0,0,0,0,0,0
35.68,3002.11,5,82.8,0,0,0,1,0,0,0,0,0,0,1,0
113.17,3426,15,108.3,0,0,0,0,0,1,0,0,0,0,0,1
106.98,3315,36,100.92,0,1,0,0,0,0,0,0,0,1,0,0
107.02,3253,36,96.72,1,0,0,0,0,0,0,0,0,0,1,0
102.59,3228,18,95.84,0,1,0,0,0,0,0,0,0,0,1,0
105.06,3462.44,22,96.19,0,0,0,0,0,0,0,0,0,1,0,0
112.73,2984,30,69.98,0,0,0,0,1,0,0,0,0,0,1,0
110.87,3276,41,106.56,0,0,0,0,1,0,0,0,0,0,0,1
113.44,3459,11,109.27,0,0,0,0,0,1,0,0,0,1,0,0
103.19,2741.11,21,98.27,0,0,1,0,0,0,0,0,0,0,0,1
111.64,2081,47,108.23,0,0,0,0,0,0,1,0,0,0,0,0
104.1,2871,5,96.79,0,1,0,0,0,0,0,0,0,0,0,1
113.13,3435,23,108.37,0,0,0,0,0,1,0,0,0,0,0,1
114.52,1483,32,111.95,0,0,0,0,0,0,0,1,0,0,0,0
105.93,1465,49,99.01,0,0,0,0,0,0,0,0,0,0,0,0
112.35,229.81,1,107.59,0,0,1,0,0,0,0,0,0,0,1,0
106.49,3009.15,19,99.45,0,0,1,0,0,0,0,0,0,0,0,1
112.78,3328.42,37,106.62,0,0,0,0,0,0,1,0,0,0,0,1
111.15,2653.2,29,103.69,1,0,0,0,0,0,0,0,0,0,0,1
110.91,1462.5,43,105.18,0,0,1,0,0,0,0,0,0,0,0,0
106.5,2747,49,96.62,0,1,0,0,0,0,0,0,0,0,0,1
114.01,2457,11,108.78,0,0,0,0,0,1,0,0,0,0,0,1
115.49,2135,17,109.95,0,0,0,0,0,0,0,0,1,0,0,0
108.66,3335,36,99.77,1,0,0,0,0,0,0,0,0,1,0,0
112.01,1666,41,104.48,1,0,0,0,0,0,0,0,0,0,0,0
108.7,1575,5,102.55,0,1,0,0,0,0,0,0,0,0,0,0
107.64,3364,27,100.94,0,1,0,0,0,0,0,0,0,1,0,0
98.77,3105,2,86.85,1,0,0,0,0,0,0,0,0,1,0,0
118.23,1166,52,113.65,0,0,0,0,0,0,1,0,0,0,0,1
108.53,3107,47,98.53,0,0,0,0,0,0,0,0,0,0,0,1
99.24,3143.08,23,92.22,0,0,0,0,0,0,0,0,0,0,0,1
107.32,3297,6,90.08,1,0,0,0,0,0,0,0,0,1,0,0
110.32,2804.15,2,103.05,0,0,1,0,0,0,0,0,0,0,0,1
120.07,450,1,114.79,0,0,0,0,0,0,0,0,1,0,0,1
94.27,3290.18,16,95.68,0,0,0,1,0,0,0,0,0,0,0,1
114.71,1961,40,109.55,0,0,0,0,0,1,0,0,0,0,0,0
113,1944,45,108.37,0,0,0,0,0,1,0,0,0,0,0,0
112.15,2532.41,32,106.65,0,0,1,0,0,0,0,0,0,1,0,0
103.88,3097.09,23,99.14,0,0,1,0,0,0,0,0,0,0,0,1
112.16,3303,13,106.64,0,0,0,0,0,1,0,0,0,0,0,1
111.88,1507,8,104.32,0,1,0,0,0,0,0,0,0,0,0,0
113.05,2077,52,104.25,1,0,0,0,0,0,0,0,0,0,0,1
114.98,3136,33,107.95,0,0,0,0,0,0,0,1,0,0,0,1
104.66,3162.41,26,100.28,0,0,1,0,0,0,0,0,0,0,0,1
110.53,1103,1,104.19,0,1,0,0,0,0,0,0,0,0,0,0
95.71,3377,20,80.23,0,0,0,0,1,0,0,0,0,0,1,0
110.27,2980.71,32,103.7,0,0,1,0,0,0,0,0,0,0,1,0
105.35,3005.17,17,99.74,0,0,0,1,0,0,0,0,0,0,0,1
106.32,3373,24,100.12,1,0,0,0,0,0,0,0,0,0,1,0
115.36,1956,20,111.75,0,0,0,0,0,0,1,0,0,0,0,0
111.26,1561.4,40,104.58,0,1,0,0,0,0,0,0,0,0,0,0
105.51,3046.07,22,99.27,0,0,1,0,0,0,0,0,0,0,0,1
105.82,3295.93,35,98.67,0,0,1,0,0,0,0,0,0,1,0,0
105.66,3219,10,96.63,1,0,0,0,0,0,0,0,0,0,0,1
113.92,3148,33,83.98,0,0,0,0,1,0,0,0,0,1,0,0
113.66,3271,37,106.65,0,0,0,0,0,0,0,0,1,0,0,1
114.95,2034,43,110.7,0,0,0,0,0,0,0,1,0,0,0,0
111.9,2505,8,102.01,0,1,0,0,0,0,0,0,0,0,0,1
114.31,2080,38,109.7,0,0,0,0,0,0,0,1,0,0,0,0
114.38,3324,9,107.62,0,0,0,0,0,0,0,0,1,0,0,1
103.21,3317,41,95.96,0,0,0,0,0,0,0,0,0,0,0,1
112.92,3399,20,107.09,0,0,0,0,0,0,1,0,0,0,0,1
113.19,1055,31,106.99,0,1,0,0,0,0,0,0,0,0,0,0
112.23,1536.84,34,105.53,0,0,0,0,0,0,0,0,0,0,0,0
107,1618.95,52,101.05,0,0,1,0,0,0,0,0,0,1,0,0
104,3150,16,86.41,1,0,0,0,0,0,0,0,0,0,0,1
111.24,3145,43,106.86,0,0,0,0,0,0,1,0,0,0,0,1
114.12,2176,49,109.45,0,0,0,0,0,0,0,1,0,0,0,0
81.32,2866,39,87.57,0,0,0,0,0,0,0,0,0,1,0,0
115.88,3494,38,107.48,0,0,0,0,0,0,0,1,0,0,0,1
111.05,1552,4,104.12,1,0,0,0,0,0,0,0,0,0,0,0
109.94,1666,19,104.11,0,1,0,0,0,0,0,0,0,0,0,0
112.4,1534,40,104.66,0,0,0,0,0,0,0,0,0,0,0,0
110.23,1560,51,106.35,0,0,1,0,0,0,0,0,0,0,0,0
108.14,2637.97,31,100.53,0,0,1,0,0,0,0,0,0,0,0,1
104.96,3404,3,96.06,0,1,0,0,0,0,0,0,0,1,0,0
35.66,2803,2,77.48,1,0,0,0,0,0,0,0,0,0,1,0
110.61,1604,43,105.06,0,0,0,1,0,0,0,0,0,0,0,0
107.27,3030,26,100.03,0,1,0,0,0,0,0,0,0,0,0,1
113.63,2979,7,107.31,0,0,0,0,0,0,0,0,1,0,0,1
107.8,2724,49,101.29,0,0,0,1,0,0,0,0,0,0,0,1
114.56,1780,30,111.47,0,0,0,0,0,0,0,1,0,0,0,0
113.98,1949.49,11,109.92,0,0,0,0,0,0,1,0,0,0,0,0
112.74,1907,6,107.74,0,0,0,0,0,1,0,0,0,0,0,0
108.78,3310,21,98.35,1,0,0,0,0,0,0,0,0,1,0,0
110.53,3113,34,79.6,0,0,0,0,1,0,0,0,0,0,0,1
41.26,2973.68,50,84.33,0,0,1,0,0,0,0,0,0,0,1,0
109.47,2666.18,31,99.78,0,0,0,0,0,0,0,0,0,0,0,1
44.02,3075,46,86.71,0,1,0,0,0,0,0,0,0,0,1,0
111.97,905,31,107.38,0,0,0,0,0,0,0,0,0,0,0,0
113.74,3472,44,106.5,0,0,0,0,0,0,1,0,0,0,0,1
114.46,2969,3,107.28,0,0,0,0,0,0,1,0,0,0,0,1
112.92,2024,52,103.86,0,0,0,0,0,0,0,0,0,0,0,1
114.53,2181,48,109.77,0,0,0,0,0,0,0,1,0,0,0,0
112.65,3319,6,106.48,0,0,0,0,0,1,0,0,0,0,0,1
108.82,3013,29,82.2,0,0,0,0,1,0,0,0,0,0,0,1
113.17,1153,33,106.26,0,1,0,0,0,0,0,0,0,0,0,0
113.46,1249.09,29,107.54,0,0,0,0,0,0,0,0,0,0,0,0
113.07,1117.5,1,107.96,0,0,1,0,0,0,0,0,0,1,0,0
112.25,1864,8,108.61,0,0,0,0,0,1,0,0,0,0,0,0
106.79,3280,20,97.95,0,1,0,0,0,0,0,0,0,1,0,0
108.44,3366,4,103,0,0,0,0,0,0,1,0,0,0,0,1
111.64,3176,34,107.22,0,0,0,0,0,0,1,0,0,0,0,1
115.71,1467,30,112.01,0,0,0,0,0,1,0,0,0,0,0,0
103.96,2885,42,97.35,1,0,0,0,0,0,0,0,0,0,0,1
82.01,3209,7,88.13,0,0,0,0,1,0,0,0,0,1,0,0
103.83,3456,20,95.39,0,1,0,0,0,0,0,0,0,0,1,0
111.02,3269.47,27,101.65,0,0,0,0,0,0,0,0,0,1,0,0
122.43,351.86,1,115.17,0,0,0,0,0,0,0,0,1,1,0,0
80.63,3079.53,49,89.82,0,0,1,0,0,0,0,0,0,1,0,0
107.89,2845,36,100.21,1,0,0,0,0,0,0,0,0,0,0,1
56.39,3160.34,38,79.8,0,0,1,0,0,0,0,0,0,0,1,0
109.44,1711.58,52,101.95,0,0,1,0,0,0,0,0,0,0,0,1
114.87,3472,29,107.8,0,0,0,0,0,0,0,0,1,0,0,1
111.68,3016.27,31,80.35,0,0,0,0,1,0,0,0,0,0,1,0
112.24,3267.46,41,106.05,0,0,0,0,0,0,0,0,1,0,0,1
115.51,1967,26,112.08,0,0,0,0,0,1,0,0,0,0,0,0
108.88,2006,41,106.46,0,0,0,0,1,0,0,0,0,0,0,0
105.89,2818.98,28,100.71,0,0,1,0,0,0,0,0,0,0,0,1
113.19,2968,30,70.39,0,0,0,0,1,0,0,0,0,1,0,0
109.88,1567,10,104.25,1,0,0,0,0,0,0,0,0,0,0,0
105.7,3380,45,96.58,0,1,0,0,0,0,0,0,0,1,0,0
110.85,1557,43,104.04,0,0,0,0,0,0,0,0,0,0,0,0
113.78,2296,24,110.79,0,0,0,0,0,0,0,1,0,0,0,0
108.59,3397.24,28,101.55,0,1,0,0,0,0,0,0,0,1,0,0
114.75,3079,32,108.37,0,0,0,0,0,0,0,0,1,0,0,1
112.44,1682,21,105.81,1,0,0,0,0,0,0,0,0,0,0,0
99.67,2998,42,88.04,0,0,0,0,0,0,0,0,0,1,0,0
114.48,2081,39,110.15,0,0,0,0,0,0,0,1,0,0,0,0
112.58,1954,7,108.33,0,0,0,0,0,0,1,0,0,0,0,0
108.99,1555.93,11,106.28,0,0,0,1,0,0,0,0,0,0,0,0
111.14,1553,11,104.92,1,0,0,0,0,0,0,0,0,0,0,0
52.1,3084,51,83.75,0,0,0,1,0,0,0,0,0,0,1,0
