"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
113.97,2166,45,109.04,0,0,0,0,0,0,0,1,0,0,0,0
114.97,2164,50,110.03,0,0,0,0,0,0,0,1,0,0,0,0
114.53,2074,51,109.71,0,0,0,0,0,0,0,1,0,0,0,0
110.78,1782,2,107.94,0,0,0,0,0,0,0,0,1,0,0,0
109.48,1929,4,103.04,0,0,0,0,0,0,0,0,1,0,0,0
114.92,1922,5,110,0,0,0,0,0,0,0,0,1,0,0,0
114.88,2102,6,109.54,0,0,0,0,0,0,0,0,1,0,0,0
112.62,2033,8,108.7,0,0,0,0,0,0,0,0,1,0,0,0
115.03,2117,10,109.45,0,0,0,0,0,0,0,0,1,0,0,0
111.28,2057,11,107.67,0,0,0,0,0,0,0,0,1,0,0,0
114.28,2159,12,111.76,0,0,0,0,0,0,0,0,1,0,0,0
118.1,2278,22,106.9,0,0,0,0,0,0,0,0,1,0,0,0
115.39,2298,24,109.61,0,0,0,0,0,0,0,0,1,0,0,0
113.93,1380,32,113.32,0,0,0,0,0,0,0,0,1,0,0,0
114.95,1355,33,112.09,0,0,0,0,0,0,0,0,1,0,0,0
110.79,1748,35,110.53,0,0,0,0,0,0,0,0,1,0,0,0
115.74,2093,36,112.57,0,0,0,0,0,0,0,0,1,0,0,0
111.45,2135,38,107.25,0,0,0,0,0,0,0,0,1,0,0,0
113.23,1979,39,107.67,0,0,0,0,0,0,0,0,1,0,0,0
113.9,2543.77,29,105.75,0,0,0,0,0,0,0,0,0,1,0,0
86.47,2426.44,51,83.28,0,0,0,0,0,0,0,0,0,1,0,0
89.83,3063,3,84.83,1,0,0,0,0,0,0,0,0,1,0,0
106.47,3368,5,94.42,1,0,0,0,0,0,0,0,0,1,0,0
106.38,3155,10,97.61,1,0,0,0,0,0,0,0,0,1,0,0
107.85,3088,13,96,1,0,0,0,0,0,0,0,0,1,0,0
106.37,3148,18,99.4,1,0,0,0,0,0,0,0,0,1,0,0
86.07,3038,22,87.73,1,0,0,0,0,0,0,0,0,1,0,0
108.1,3440,23,97.89,1,0,0,0,0,0,0,0,0,1,0,0
107.66,3451,24,99,1,0,0,0,0,0,0,0,0,1,0,0
108.57,3154.74,28,103.62,1,0,0,0,0,0,0,0,0,1,0,0
112.08,2675.79,33,102.11,1,0,0,0,0,0,0,0,0,1,0,0
109.93,3126,35,98.83,1,0,0,0,0,0,0,0,0,1,0,0
88.94,3325,40,87.55,1,0,0,0,0,0,0,0,0,1,0,0
106.01,3073,42,91.35,1,0,0,0,0,0,0,0,0,1,0,0
105.43,3345,43,97.06,1,0,0,0,0,0,0,0,0,1,0,0
107.54,3271,44,98.25,1,0,0,0,0,0,0,0,0,1,0,0
106.85,3419,45,97.41,1,0,0,0,0,0,0,0,0,1,0,0
105.41,3304,49,95.03,1,0,0,0,0,0,0,0,0,1,0,0
114.07,1477,52,108.33,1,0,0,0,0,0,0,0,0,1,0,0
104.36,3313,4,95.91,0,1,0,0,0,0,0,0,0,1,0,0
101.9,3213,6,91.45,0,1,0,0,0,0,0,0,0,1,0,0
106.19,3360,22,98.71,0,1,0,0,0,0,0,0,0,1,0,0
108.2,3484,25,98.91,0,1,0,0,0,0,0,0,0,1,0,0
110.46,2786.25,29,103.58,0,1,0,0,0,0,0,0,0,1,0,0
112.61,2323.85,31,107.13,0,1,0,0,0,0,0,0,0,1,0,0
107,3340,35,95.94,0,1,0,0,0,0,0,0,0,1,0,0
106.21,3211,38,96.79,0,1,0,0,0,0,0,0,0,1,0,0
91.6,3309.55,40,88.89,0,1,0,0,0,0,0,0,0,1,0,0
105.71,3499.46,41,95.02,0,1,0,0,0,0,0,0,0,1,0,0
104.99,3414.12,42,95.53,0,1,0,0,0,0,0,0,0,1,0,0
105.07,3456,47,96.66,0,1,0,0,0,0,0,0,0,1,0,0
105.18,3391,48,96.93,0,1,0,0,0,0,0,0,0,1,0,0
105.46,3263,49,95.37,0,1,0,0,0,0,0,0,0,1,0,0
103.74,3486,50,97.38,0,1,0,0,0,0,0,0,0,1,0,0
116.29,175.71,52,111.36,0,1,0,0,0,0,0,0,0,1,0,0
113.96,257.14,1,108.88,0,0,1,0,0,0,0,0,0,1,0,0
104.46,3487,9,97.42,0,0,1,0,0,0,0,0,0,1,0,0
106.06,3306.67,10,99.66,0,0,1,0,0,0,0,0,0,1,0,0
102.89,3272,17,93.7,0,0,1,0,0,0,0,0,0,1,0,0
106.48,3030,21,96.32,0,0,1,0,0,0,0,0,0,1,0,0
105,3288.89,23,100.62,0,0,1,0,0,0,0,0,0,1,0,0
102.73,3482.07,27,97.65,0,0,1,0,0,0,0,0,0,1,0,0
112.61,2499.31,31,105.78,0,0,1,0,0,0,0,0,0,1,0,0
107.47,3487.24,36,98.32,0,0,1,0,0,0,0,0,0,1,0,0
84.46,3277.24,41,91.44,0,0,1,0,0,0,0,0,0,1,0,0
105.93,3218.28,43,96.66,0,0,1,0,0,0,0,0,0,1,0,0
86.59,3348.42,50,91.76,0,0,1,0,0,0,0,0,0,1,0,0
82.12,3280.75,5,88.94,0,0,0,1,0,0,0,0,0,1,0,0
77.58,3382.64,7,87.02,0,0,0,1,0,0,0,0,0,1,0,0
88.58,3245,36,92.38,0,0,0,1,0,0,0,0,0,1,0,0
78.88,3332,39,92.16,0,0,0,1,0,0,0,0,0,1,0,0
77.7,3343,44,90.85,0,0,0,1,0,0,0,0,0,1,0,0
72.59,3297,47,86.18,0,0,0,1,0,0,0,0,0,1,0,0
110.97,1596,1,106.88,0,0,0,1,0,0,0,0,0,1,0,0
60.54,3055,3,77.52,0,0,0,0,1,0,0,0,0,1,0,0
72.69,3383,4,87.59,0,0,0,0,1,0,0,0,0,1,0,0
116.32,2837,31,111.48,0,0,0,0,0,1,0,0,0,1,0,0
106.53,3455,50,96.3,0,0,0,0,0,0,1,0,0,1,0,0
68.93,3093,51,107.22,0,0,0,0,0,0,1,0,0,1,0,0
117.18,3401,34,111.18,0,0,0,0,0,0,0,1,0,1,0,0
114.58,3101,30,109.22,0,0,0,0,0,0,0,0,1,1,0,0
115.87,3022,31,112.42,0,0,0,0,0,0,0,0,1,1,0,0
118.7,3148,33,111.49,0,0,0,0,0,0,0,0,1,1,0,0
40.85,2784.41,36,76.66,0,0,0,0,0,0,0,0,0,0,1,0
40.77,2923,39,77.31,0,0,0,0,0,0,0,0,0,0,1,0
47.73,3269,40,77.62,0,0,0,0,0,0,0,0,0,0,1,0
85.61,3385,42,81.93,0,0,0,0,0,0,0,0,0,0,1,0
107.88,3275,47,86.55,0,0,0,0,0,0,0,0,0,0,1,0
87.87,2497,51,85.32,0,0,0,0,0,0,0,0,0,0,1,0
48.37,3074,11,78.83,1,0,0,0,0,0,0,0,0,0,1,0
74.37,3234,12,81.73,1,0,0,0,0,0,0,0,0,0,1,0
105.84,3205,13,84.33,1,0,0,0,0,0,0,0,0,0,1,0
