year,week,speed_main,flow_main,flow_ngh_400,flow_ngh_432,speed_ngh_400,speed_ngh_432,hour6,hour7,hour8,hour9
4,3,109.76,1428.84,1576.74,1960.47,108.58,104.94,1,0,0,0
4,4,110.97,1575,1722.86,2126.79,109.28,105.6,1,0,0,0
4,5,108.53,1622.18,1749.82,2178.55,107.96,104.51,1,0,0,0
4,7,112.39,1493.21,1627.92,2025.28,110.58,106.86,1,0,0,0
4,8,109.58,1467.46,1588.47,1935.25,108.46,104.59,1,0,0,0
4,9,110.07,1508.14,1655.59,2042.03,107.81,104.32,1,0,0,0
4,10,110.61,1537.09,1721.45,2075.56,108.66,105.07,1,0,0,0
4,11,108.99,1555.93,1676.95,2084.75,108.02,106.28,1,0,0,0
4,12,111.85,1601.38,1725.52,2070,110.63,105.27,1,0,0,0
4,13,110.58,1590.51,1740,2003.39,109.1,106.63,1,0,0,0
4,14,110.49,1487.37,1600,1971.58,108.99,105.02,1,0,0,0
4,15,110.03,1542.11,1712.63,2096.84,108.94,104.34,1,0,0,0
4,16,109.08,1593.1,1785.52,2061.72,108.05,105.2,1,0,0,0
4,17,110.34,1755.79,1912.63,2284.29,108.85,104.59,1,0,0,0
4,18,110.54,1474.58,1615.93,1903.73,109.6,106.17,1,0,0,0
4,36,111.76,1580,1684,2010,110.54,106.57,1,0,0,0
4,37,111.36,1525,1689,1992,109.55,105.54,1,0,0,0
4,38,110.14,1494,1634,1948,108.34,105.27,1,0,0,0
4,39,110.94,1456,1588,1944,109.63,105.96,1,0,0,0
4,40,109.96,1566,1729,2051,108.9,104.16,1,0,0,0
4,41,108.91,1573,1738,2096,106.94,102.48,1,0,0,0
4,42,110.31,1577,1744,2107,108.02,104.94,1,0,0,0
4,43,110.61,1604,1749,2099,108.27,105.06,1,0,0,0
4,44,109.71,1682,1837,2209,108.45,104.96,1,0,0,0
4,45,108.95,1637,1827,2141,107.49,104.25,1,0,0,0
4,46,109.04,1658,1861,2177,107.62,104.54,1,0,0,0
4,47,108.41,1729,1892,2209,107.81,104.48,1,0,0,0
4,48,110.93,1568,1769,2114,108.95,104.15,1,0,0,0
4,49,109.92,1609,1785,2166,108.81,105.94,1,0,0,0
4,50,108.03,1606,1745,2082,106.75,103.66,1,0,0,0
4,51,110.48,1598,1782,2182,108.67,104.04,1,0,0,0
4,52,110.66,919,998,1193,109.35,106.34,1,0,0,0
4,1,109.14,680,726,874,108.55,105.53,1,0,0,0
5,2,110.63,1542,1694,2072,109.69,105,1,0,0,0
5,3,107.43,1562,1714,2012,104.45,103.64,1,0,0,0
5,4,109.89,1559,1674,2042,107.52,106.8,1,0,0,0
5,5,110.25,1597,1761,2121,108.71,105.24,1,0,0,0
5,6,109.38,1478,1629,2030,107.41,104.01,1,0,0,0
5,7,110.01,1541,1719,2100,108.46,106.29,1,0,0,0
5,19,105.62,605,620,580,104.52,93.89,1,0,0,0
5,20,101.68,1811,1843,1824,99.84,88.84,1,0,0,0
5,21,101.73,1858,1899,1938,99.73,87.14,1,0,0,0
5,22,104.04,2109,2178,2155,100.47,89.58,1,0,0,0
5,23,120.23,935.59,1005.76,2108,120.06,79.5,1,0,0,0
5,24,111.39,1910.85,1926.1,2095.93,112.03,80.95,1,0,0,0
5,25,110.81,1877,1904,2023,111.63,82.1,1,0,0,0
5,26,111.76,1859,1895,2041,112.6,89.69,1,0,0,0
5,27,111.51,1944,1940,2108,111.44,89.22,1,0,0,0
5,28,112.75,1805,1848,2004,112.89,90.73,1,0,0,0
5,29,111.69,1673,1681,1877,112.12,89.71,1,0,0,0
5,30,111.34,1525,1525,1523,108.08,76.14,1,0,0,0
5,31,110.65,1234,1232,1321,111.01,87.53,1,0,0,0
5,32,109.97,1197,1201,1252,110.83,87.17,1,0,0,0
5,33,111.87,1431,1433,1465,111.12,89.57,1,0,0,0
5,34,110.81,1763,1786,1855,111.03,85.5,1,0,0,0
